locationId,site,name
51661d88-3303-11ec-b41c-5254004e4f4c,Bastions,entre_sol
11ee0209-4392-11ec-92ab-5254004e4f4c,Carl-Vogt,RDC-entre-Bloc-0-1
7d877cce-e55d-11eb-8053-5254004e4f4c,Sciences,SCII
7d877441-e55d-11eb-8053-5254004e4f4c,Sciences,SCIII
e14cf25e-d209-11ec-a383-5254004e4f4c,Uni-Dufour,Dufour
58b61111-d1d5-11ec-af5f-5254004e4f4c,Uni-Mail,RDC-entre-Bloc-0-1
6296ae46-d1c9-11ec-9927-5254004e4f4c,Uni-Mail,RDC-entre-Bloc-2-3
00aaa2cf-d1d5-11ec-af5f-5254004e4f4c,Uni-Mail,SOUS-SOL-bloc-1
1b8fdb41-d1bf-11ec-9927-5254004e4f4c,Uni-Mail,TROISIEME-Bloc-1
